dimension_id,dimension,fine_id,fine_category,fine_label_en,fine_label_zh,fine_semantic_type,fine_label_confidence
0,D000,0,F000,red brick corner,红砖街角,geometry,0.98
1,D001,1,F001,shaded_corner,树荫街角,geometry,0.98
2,D002,2,F002,shaded patches,树荫斑驳,geometry,0.98
3,D003,3,F003,building facade,建筑立面,geometry,0.98
4,D004,3,F003,building facade,建筑立面,geometry,0.98
5,D005,4,F004,highlighted_buildings,高亮建筑,object,0.98
6,D006,5,F005,palm_trees_and_buildings,棕榈树与建筑,geometry,0.98
7,D007,6,F006,small alley entrance,小巷口,geometry,0.98
8,D008,7,F007,roof_and_eaves,屋顶与屋檐,geometry,0.98
9,D009,8,F008,stone_wall_and_retaining_wall,石墙与护坡,geometry,0.9
10,D010,9,F009,highlighted road,高亮道路,geometry,0.85
11,D011,10,F010,green_wall,绿植墙,geometry,0.98
12,D012,3,F003,building facade,建筑立面,geometry,0.98
13,D013,11,F011,road_edge,道路边缘,geometry,0.98
14,D014,12,F012,bamboo,竹林,geometry,0.98
15,D015,13,F013,tree-lined_driveway,绿树行道,spatial_layout,0.98
16,D016,14,F014,road_edge,道路边缘,geometry,0.95
17,D017,15,F015,tree_shade_street,树荫道,geometry,0.98
18,D018,0,F000,red brick corner,红砖街角,geometry,0.98
19,D019,16,F016,construction scaffolding,建筑脚手架,object,0.98
20,D020,17,F017,building facade,建筑立面,geometry,0.95
21,D021,1,F001,shaded_corner,树荫街角,geometry,0.98
22,D022,18,F018,small alley flowerbed,小巷花丛,geometry,0.98
23,D023,19,F019,road_and_building,道路与建筑,object,0.85
24,D024,20,F020,advertising_wall,广告墙,object,0.95
25,D025,21,F021,road_and_building,道路与建筑,spatial_layout,0.85
26,D026,18,F018,small alley flowerbed,小巷花丛,geometry,0.98
27,D027,22,F022,tree_canopy_and_road,树冠与道路,geometry,0.98
28,D028,6,F006,small alley entrance,小巷口,geometry,0.98
29,D029,23,F023,street_corner_cafe,街角咖啡座,object,0.98
30,D030,24,F024,road_edge,道路边缘,geometry,0.98
31,D031,11,F011,road_edge,道路边缘,geometry,0.98
32,D032,25,F025,shaded alley,树荫小路,geometry,0.98
33,D033,0,F000,red brick corner,红砖街角,geometry,0.98
34,D034,26,F026,tree_shadows,树影斑驳,geometry,0.9
35,D035,27,F027,car_top_heat,车顶热区,material,0.85
36,D036,28,F028,red_car_street,红车街景,object,0.95
37,D037,24,F024,road_edge,道路边缘,geometry,0.98
38,D038,29,F029,electric_bike_parking,电动车停放,geometry,0.98
39,D039,30,F030,stone_wall_and_shadows,石墙与树影,geometry,0.85
40,D040,31,F031,road_edge,道路边缘,geometry,0.95
41,D041,32,F032,tree-lined walk,绿树行道,geometry,0.92
42,D042,21,F021,road_and_building,道路与建筑,spatial_layout,0.85
43,D043,18,F018,small alley flowerbed,小巷花丛,geometry,0.98
44,D044,33,F033,zebra_crossing,斑马线,geometry,0.98
45,D045,34,F034,red_door_street,红门街景,geometry,0.85
46,D046,24,F024,road_edge,道路边缘,geometry,0.98
47,D047,35,F035,small alley entrance,小巷口,geometry,0.95
48,D048,36,F036,pedestrian walk,人行道,geometry,0.98
49,D049,2,F002,shaded patches,树荫斑驳,geometry,0.98
50,D050,37,F037,street_corner_shops,街角商铺,object,0.98
51,D051,9,F009,highlighted road,高亮道路,geometry,0.85
52,D052,25,F025,shaded alley,树荫小路,geometry,0.98
53,D053,25,F025,shaded alley,树荫小路,geometry,0.98
54,D054,13,F013,tree-lined_driveway,绿树行道,spatial_layout,0.98
55,D055,2,F002,shaded patches,树荫斑驳,geometry,0.98
56,D056,38,F038,red-yellow hotspot,红黄热区,color_light,0.85
57,D057,19,F019,road_and_building,道路与建筑,object,0.85
58,D058,23,F023,street_corner_cafe,街角咖啡座,object,0.98
59,D059,28,F028,red_car_street,红车街景,object,0.95
60,D060,17,F017,building facade,建筑立面,geometry,0.95
61,D061,39,F039,red car corner,红车街角,geometry,0.98
62,D062,14,F014,road_edge,道路边缘,geometry,0.95
63,D063,40,F040,cobblestone,石板路,geometry,0.98
64,D064,3,F003,building facade,建筑立面,geometry,0.98
65,D065,41,F041,concrete_wall,混凝土墙,geometry,0.95
66,D066,20,F020,advertising_wall,广告墙,object,0.95
67,D067,36,F036,pedestrian walk,人行道,geometry,0.98
68,D068,0,F000,red brick corner,红砖街角,geometry,0.98
69,D069,42,F042,Red-yellow glow street,红黄光晕街,geometry,0.9
70,D070,43,F043,tree_shadows,树影斑驳,geometry,0.98
71,D071,44,F044,road_and_buildings,道路与建筑,object,0.85
72,D072,18,F018,small alley flowerbed,小巷花丛,geometry,0.98
73,D073,45,F045,underpass glow,高架桥下光带,geometry,0.98
74,D074,37,F037,street_corner_shops,街角商铺,object,0.98
75,D075,46,F046,window_heat_zone,窗体热区,geometry,0.85
76,D076,43,F043,tree_shadows,树影斑驳,geometry,0.98
77,D077,1,F001,shaded_corner,树荫街角,geometry,0.98
78,D078,36,F036,pedestrian walk,人行道,geometry,0.98
79,D079,47,F047,underpass,高架桥下,geometry,0.98
80,D080,34,F034,red_door_street,红门街景,geometry,0.85
81,D081,2,F002,shaded patches,树荫斑驳,geometry,0.98
82,D082,30,F030,stone_wall_and_shadows,石墙与树影,geometry,0.85
83,D083,36,F036,pedestrian walk,人行道,geometry,0.98
84,D084,48,F048,shaded path,树荫小径,geometry,0.98
85,D085,28,F028,red_car_street,红车街景,object,0.95
86,D086,41,F041,concrete_wall,混凝土墙,geometry,0.95
87,D087,49,F049,red_wall_yellow_wall,红墙黄墙,material,0.95
88,D088,50,F050,greenery_and_water,绿植与水体,material,0.85
89,D089,7,F007,roof_and_eaves,屋顶与屋檐,geometry,0.98
90,D090,51,F051,zebra_crossing,斑马线,geometry,0.98
91,D091,27,F027,car_top_heat,车顶热区,material,0.85
92,D092,50,F050,greenery_and_water,绿植与水体,material,0.85
93,D093,0,F000,red brick corner,红砖街角,geometry,0.98
94,D094,32,F032,tree-lined walk,绿树行道,geometry,0.92
95,D095,38,F038,red-yellow hotspot,红黄热区,color_light,0.85
96,D096,29,F029,electric_bike_parking,电动车停放,geometry,0.98
97,D097,49,F049,red_wall_yellow_wall,红墙黄墙,material,0.95
98,D098,52,F052,palm_tree_street,棕榈树街景,geometry,0.98
99,D099,53,F053,road_marking,道路标线,geometry,0.95
100,D100,5,F005,palm_trees_and_buildings,棕榈树与建筑,geometry,0.98
101,D101,24,F024,road_edge,道路边缘,geometry,0.98
102,D102,51,F051,zebra_crossing,斑马线,geometry,0.98
103,D103,27,F027,car_top_heat,车顶热区,material,0.85
104,D104,46,F046,window_heat_zone,窗体热区,geometry,0.85
105,D105,54,F054,highlighted_lane,高亮车道,geometry,0.92
106,D106,27,F027,car_top_heat,车顶热区,material,0.85
107,D107,46,F046,window_heat_zone,窗体热区,geometry,0.85
